"Time","Round","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-15T15:18:30.896+08:00","Round1","EXTRA_SSOT","VIS_VRN_BrokerAlias_Compatibility_v0222.py","OK_FOUND","LOW","PARALLEL_SAFE","P1","exists","true","Extra SSOT/supportive file found.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIS_VRN_BrokerAlias_Compatibility_v0222.py"
"2026-06-15T15:18:30.898+08:00","Round1","EXTRA_SSOT","VIS_VRN_BasicInfoFinancialQualityRules_v0100.py","OK_FOUND","LOW","PARALLEL_SAFE","P1","exists","true","Extra SSOT/supportive file found.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIS_VRN_BasicInfoFinancialQualityRules_v0100.py"
"2026-06-15T15:18:30.899+08:00","Round1","EXTRA_SSOT","VIS_VRN_FinancialRescueRules_v06126.py","OK_FOUND","LOW","PARALLEL_SAFE","P1","exists","true","Extra SSOT/supportive file found.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIS_VRN_FinancialRescueRules_v06126.py"
"2026-06-15T15:18:30.907+08:00","Round2","ENGINE","StockReport Output Python Engine","OK_CREATED","LOW","PARALLEL_SAFE","P0","script","created","Python output builder created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_STOCKREPORT_INCREMENTAL_OUTPUT_STORE_v029SSOT1D_20260615_151828\work\vrn_stockreport_incremental_output_store_v029ssot1d.py"
"2026-06-15T15:18:36.016+08:00","Round2","BUILD","StockReport Output Build","OK_BUILT","LOW","PARALLEL_SAFE","P0","exit","0","StockReport output store built.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_STOCKREPORT_INCREMENTAL_OUTPUT_STORE_v029SSOT1D_20260615_151828\runtime\VRN_StockReportIncrementalOutputStore_PythonRuntime_v029SSOT1D.json"
"2026-06-15T15:18:36.022+08:00","Round2","TEST","Parquet BasicInfo Readback","OK_TESTED","LOW","PARALLEL_SAFE","P2","value","400","BasicInfo parquet readback count.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet"
"2026-06-15T15:18:36.022+08:00","Round2","TEST","Parquet FinancialData Readback","OK_TESTED","LOW","PARALLEL_SAFE","P2","value","0","FinancialData parquet readback count.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportFinancialData.parquet"
"2026-06-15T15:18:36.022+08:00","Round2","TEST","BasicInfo Incremental Dedup","OK_TESTED","LOW","PARALLEL_SAFE","P2","value","0","record_hash duplicates in BasicInfo.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet"
"2026-06-15T15:18:36.022+08:00","Round2","TEST","FinancialData Incremental Dedup","OK_TESTED","LOW","PARALLEL_SAFE","P2","value","0","record_hash duplicates in FinancialData.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportFinancialData.parquet"
"2026-06-15T15:18:36.023+08:00","Round2","TEST","DuckDB BasicInfo Count","OK_TESTED","LOW","PARALLEL_SAFE","P2","value","400","DuckDB serving layer test.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\VRN_StockReport.duckdb"
"2026-06-15T15:18:36.023+08:00","Round2","TEST","DuckDB FinancialData Count","OK_TESTED","LOW","PARALLEL_SAFE","P2","value","0","DuckDB serving layer test.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\VRN_StockReport.duckdb"
"2026-06-15T15:18:36.025+08:00","Round3","OUTPUT","StockReportBasicInfo.parquet","OK_WRITTEN","LOW","PARALLEL_SAFE","P0","exists","true","Output file written.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet"
"2026-06-15T15:18:36.025+08:00","Round3","OUTPUT","StockReportFinancialData.parquet","OK_WRITTEN","LOW","PARALLEL_SAFE","P0","exists","true","Output file written.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportFinancialData.parquet"
"2026-06-15T15:18:36.026+08:00","Round3","OUTPUT","VRN_StockReport_Dataflow_v029SSOT1D.json","OK_WRITTEN","LOW","PARALLEL_SAFE","P0","exists","true","Output file written.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_STOCKREPORT_INCREMENTAL_OUTPUT_STORE_v029SSOT1D_20260615_151828\runtime\VRN_StockReport_Dataflow_v029SSOT1D.json"
"2026-06-15T15:18:36.027+08:00","Round3","OUTPUT","VRN_StockReport.duckdb","OK_WRITTEN","LOW","PARALLEL_SAFE","P0","exists","true","DuckDB serving layer written.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\VRN_StockReport.duckdb"
"2026-06-15T15:18:36.030+08:00","Round3","READINESS","FinancialData Population","WARN_PENDING_1D","MEDIUM","SEQUENTIAL_REQUIRED","P1","rows","0","No existing FinancialData parquet candidate found. StockReportFinancialData schema created and waits for VRN 1D table extraction staging.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportFinancialData.parquet"
"2026-06-15T15:18:36.049+08:00","Round3","FINAL","StockReport Incremental Output Store","VRN_STOCKREPORT_INCREMENTAL_OUTPUT_READY_WITH_REVIEW","MEDIUM","SEQUENTIAL_GATED","P0","hard_blocks","0","Final output-store decision.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_STOCKREPORT_INCREMENTAL_OUTPUT_STORE_v029SSOT1D_20260615_151828"
