canonical_family,symbol,date,value,source,unit,frequency,description,route,vdf_mapping_gate,vdf_mapping_policy,vdf_target_table,vdf_seeded_at,vdf_original_row_hash,_vdf_overlap_existing,_vdf_dryrun_action,_vdf_dryrun_policy,_vdf_dryrun_at,_vdf_smart_remap_gate,_vdf_smart_remap_policy,_vdf_smart_remap_at,_vdf_smart_row_hash
VDF_Global_Commodity,STEEL,2026-02-11,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,c40c2417ebcd7bbd,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,e819617fad775b66
VDF_Global_Commodity,STEEL,2026-02-12,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,3b448f17b94509de,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,97f63e73683e3cca
VDF_Global_Commodity,STEEL,2026-02-13,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,8684c9acc94b1000,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,003a2152938fce31
VDF_Global_Commodity,STEEL,2026-02-14,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,09f777d25015dc7d,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,8e1632d064d625e8
VDF_Global_Commodity,STEEL,2026-02-15,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,ca18e72573fe5a0f,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,45a4000c11193ee8
VDF_Global_Commodity,STEEL,2026-02-16,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,0dcea352e5f26e04,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,cf84b6eefaf59649
VDF_Global_Commodity,STEEL,2026-02-17,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,5d472fb1b3e9abab,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,e530a48fe2ee1993
VDF_Global_Commodity,STEEL,2026-02-18,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,535bf7b6e3430232,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,8a04a08ec91e296a
VDF_Global_Commodity,STEEL,2026-02-19,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,93ccf2874d3c432f,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,a4af94cd035cba28
VDF_Global_Commodity,STEEL,2026-02-20,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,a6e5f47f15e1ee98,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,b3fb259e81816873
