"Layer","Category","Decision","Risk","Action","Path","Bytes","Size","FileCount","Reason"
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\files","101978","99.59 KB","10","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VDF_VRN_Wave_Kit_v2.6_hotfix","99137","96.81 KB","4","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VDF_VRN_Closeout_Kit_v2.6","95109","92.88 KB","4","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\files (33)","90466","88.35 KB","5","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VDF_VRN_Closeout_Kit","86475","84.45 KB","4","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VDF_PanoramicFix_v2","85251","83.25 KB","11","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\syntax_fixes","72774","71.07 KB","3","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\OneDrive\Apps","70846","69.19 KB","8","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VHS_HtmlSpecReader","48632","47.49 KB","7","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\html_reports","31928","31.18 KB","2","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VDF_Output","25750","25.15 KB","6","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\temp","17689","17.27 KB","2","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VDS_Panoramic_Results","15088","14.73 KB","1","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\TaiwanStock_Modules","4643","4.53 KB","4","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VPS-Electron-Enterprise-v3","3485","3.40 KB","9","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VeritasPanorama_Pro","3334","3.26 KB","4","Inventory only."
"PythonEnv","venv","REVIEW","MEDIUM","REVIEW_ENV","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\modules\vetf\_env\vetf_core_312\Lib\site-packages\jedi\third_party\typeshed\stdlib\venv","2951","2.88 KB","1","Python env / venv. Do not remove unless duplicate or archived."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VeritasAutonomousDevOps_Enterprise_v1.0.0","2158","2.11 KB","3","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\bin","1916","1.87 KB","3","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VERITAS_AUTONOMOUS_ENGINE","1850","1.81 KB","10","Inventory only."
"PythonEnv","venv","REVIEW","MEDIUM","REVIEW_ENV","C:\Users\tonyk\OneDrive\桌面\tw_stock\env","757","757 B","1","Python env / venv. Do not remove unless duplicate or archived."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\ui","442","442 B","1","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\real_test_logs","389","389 B","1","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\_VERITAS_PANORAMA_OUTPUT","241","241 B","2","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\Veritas_Analysis_Logs","206","206 B","1","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\system","90","90 B","2","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\logo_input","0","0 B","0","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\output","0","0 B","0","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\OneDrive\附件","0","0 B","0","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\OneDrive\Microsoft Copilot Chat 檔案","0","0 B","0","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\新增資料夾","0","0 B","0","Inventory only."
