"Time","Round","Layer","Name","Status","Risk","FixClass","Metric","Value","Message","Path"
"2026-06-09 21:57:51","Round1","ACTIVE_POINTER","VDF_ACTIVE_POINTER.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
"2026-06-09 21:57:51","Round1","SSOT","VDF_Extraction_Params_SSOT.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_Params_SSOT.json"
"2026-06-09 21:57:51","Round1","HEADER_REGISTRY","VDF_DataScope_HeaderRegistry_SSOT.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_SSOT.json"
"2026-06-09 21:57:51","Round1","SUPPORTIVE_MANIFEST","VDF_SupportiveTools_ImportManifest.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_SupportiveTools_ImportManifest.json"
"2026-06-09 21:57:51","Round1","ACTIVE_ENTRY","Invoke-VDF.ps1","OK","LOW","PARALLEL_SAFE","exists_sha256","DC72773B64F027CC8699199F3E315586AFB2BF0DEAF7D0B7B3430CF57A3A73FD","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1"
"2026-06-09 21:57:51","Round1","ACTIVE_ENTRY_AST","Invoke-VDF.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1"
"2026-06-09 21:57:51","Round1","HEADER_REGISTRY_CONTENT","Database Groups","OK","LOW","PARALLEL_SAFE","count","20","Expected 20 database groups found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_SSOT.json"
"2026-06-09 21:57:51","Round2","DATABASE_FILE","VDF_TW_EquityUniverse.csv","OK","LOW","PARALLEL_SAFE","exists_sha256","C9F74D64FE3643FAF5CE43BF576BE715CD3EAD0EEB01E7AF740C2F35FE21DC2E","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_EquityUniverse.csv"
"2026-06-09 21:57:51","Round2","DATABASE_FILE","VDF_TW_EquityUniverse.json","OK","LOW","PARALLEL_SAFE","exists_sha256","73D57A0832E3BD0966218A9BCD9773F6CD25BD06595D9FC723F4E1B9EEECF1E6","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_EquityUniverse.json"
"2026-06-09 21:57:51","Round2","DATABASE_FILE","VDF_TW_EquityUniverse.parquet","OK","LOW","PARALLEL_SAFE","exists_sha256","54940DF0AD05A6BAB3DC04C59BA75A2BC1C65C15A5B7B61E6459706DCC62819A","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_EquityUniverse.parquet"
"2026-06-09 21:57:51","Round2","DATABASE_FILE","VDF_TW_CompanyProfile.csv","OK","LOW","PARALLEL_SAFE","exists_sha256","380A444BC79833E0F2EB6FDFE7529179EFAABBC5769693FB6E053919C616E0E5","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_CompanyProfile.csv"
"2026-06-09 21:57:51","Round2","DATABASE_FILE","VDF_TW_CompanyProfile.json","OK","LOW","PARALLEL_SAFE","exists_sha256","9EB43A378B6EFAC6F71BACBA0D01453894C68B858CF008248BFCB702AE153F9D","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_CompanyProfile.json"
"2026-06-09 21:57:51","Round2","DATABASE_FILE","VDF_TW_CompanyProfile.parquet","OK","LOW","PARALLEL_SAFE","exists_sha256","DB707E38D6F98CA306309DDC7D5AB6C20FEC4F674B171BE3C5DF25675327D09B","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_CompanyProfile.parquet"
"2026-06-09 21:57:51","Round2","DATABASE_FILE","VDF_TW_PriceDaily.csv","OK","LOW","PARALLEL_SAFE","exists_sha256","2FB908C789C646C111EDD0A8C994142208D2EC317A25AAE4619117D89C72C0F3","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_PriceDaily.csv"
"2026-06-09 21:57:51","Round2","DATABASE_FILE","VDF_TW_PriceDaily.json","OK","LOW","PARALLEL_SAFE","exists_sha256","30B9419269D080050A9FC714C4907753F9A3F7C16D3AFD0DD83F80844860577F","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_PriceDaily.json"
"2026-06-09 21:57:51","Round2","DATABASE_FILE","VDF_TW_PriceDaily.parquet","OK","LOW","PARALLEL_SAFE","exists_sha256","0B42A555FD578318A21CE29BFA5FE06F0A8F4DF48CC826311B0B435FB0C56815","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_PriceDaily.parquet"
