"Time","Round","Layer","Name","Status","Risk","FixClass","Metric","Value","Message","Path"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","VRN_MDL193_run_vrn__REPORT__v0_0.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL193_run_vrn__REPORT__v0_0.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","VRN_MDL194_run_vrn__MODULE__v0_0.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL194_run_vrn__MODULE__v0_0.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","VRN_MDL195_run_vrn_summary__MODULE__v0_0.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL195_run_vrn_summary__MODULE__v0_0.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-Refresh-BaseHome.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_BASE_HOME_IO_20260506_210324\Invoke-VAP-Refresh-BaseHome.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-DuckDB-Parquet-Refresh.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_DUCKDB_PARQUET_20260506_221932\Invoke-VAP-DuckDB-Parquet-Refresh.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-Next-Optimization-Actions.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_PANORAMA_MATURITY_OPT_20260507_110152\Invoke-VAP-Next-Optimization-Actions.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-Panorama-Maturity-Refresh.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_PANORAMA_MATURITY_OPT_20260507_110152\Invoke-VAP-Panorama-Maturity-Refresh.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-Next-Optimization-Actions.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_PANORAMA_MATURITY_OPT_20260507_230210\Invoke-VAP-Next-Optimization-Actions.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-Panorama-Maturity-Refresh.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_PANORAMA_MATURITY_OPT_20260507_230210\Invoke-VAP-Panorama-Maturity-Refresh.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-Project-Refresh.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_PROJECT_COMPLETION_20260506_224841\Invoke-VAP-Project-Refresh.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-Project-Verify.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_PROJECT_COMPLETION_20260506_224841\Invoke-VAP-Project-Verify.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-Project-Refresh-v2.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_PROJECT_COMPLETION_V2_20260506_225531\Invoke-VAP-Project-Refresh-v2.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-Project-Verify-v2.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_PROJECT_COMPLETION_V2_20260506_225531\Invoke-VAP-Project-Verify-v2.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-V8-Master-Refresh.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_V8_MASTER_20260507_233550\Invoke-VAP-V8-Master-Refresh.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-Warehouse-V4-Refresh.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_WAREHOUSE_V4_20260506_222535\Invoke-VAP-Warehouse-V4-Refresh.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-Warehouse-V5-Next3-Refresh.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_WAREHOUSE_V5_NEXT3_20260506_231125\Invoke-VAP-Warehouse-V5-Next3-Refresh.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-Warehouse-V6-Refresh.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_WAREHOUSE_V6_ALL_20260507_100922\Invoke-VAP-Warehouse-V6-Refresh.ps1"
