file_id,report_id,issue_type,severity,message,path,_csv_overflow,_ragged,report_id_original
e6270450a0cb,adfbc94a0a2ac47c2d49,BROKER_MISSING,LOW,Broker not found,"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_A_CLEAN_INPUT\晶心科(6533,N,中立)-CTBC251208.pdf",,False,3d74d4a63b622a51
482e52f26cf4,9e0c816fad67829e01be,DATE_MISSING,MEDIUM,Report date not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_A_CLEAN_INPUT\6933_AMAX-KY_個股介紹報告.pdf,,False,20e610218fae9c70
482e52f26cf4,9e0c816fad67829e01be,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_A_CLEAN_INPUT\6933_AMAX-KY_個股介紹報告.pdf,,False,20e610218fae9c70
191e050f585d,deab2fdade28e8ecde05,DATE_MISSING,MEDIUM,Report date not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_A_CLEAN_INPUT\晶豪科(3006)評估報告.pdf,,False,77ab9731d9f0c0ea
191e050f585d,deab2fdade28e8ecde05,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_A_CLEAN_INPUT\晶豪科(3006)評估報告.pdf,,False,77ab9731d9f0c0ea
482e52f26cf4,9e0c816fad67829e01be,DATE_MISSING,MEDIUM,Report date not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_B_NOISY_INPUT\NOISY_測試_OCR錯字_日期干擾_2021_2030_6933_AMAX-KY_個股介紹報告_TT雜訊.pdf,,False,950607c316b5bb0a
482e52f26cf4,9e0c816fad67829e01be,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_B_NOISY_INPUT\NOISY_測試_OCR錯字_日期干擾_2021_2030_6933_AMAX-KY_個股介紹報告_TT雜訊.pdf,,False,950607c316b5bb0a
e6270450a0cb,adfbc94a0a2ac47c2d49,BROKER_MISSING,LOW,Broker not found,"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_B_NOISY_INPUT\NOISY_測試_OCR錯字_日期干擾_2021_2030_晶心科(6533,N,中立)-CTBC251208_TT雜訊.pdf",,False,36fb2a5e2b886691
191e050f585d,deab2fdade28e8ecde05,DATE_MISSING,MEDIUM,Report date not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_B_NOISY_INPUT\NOISY_測試_OCR錯字_日期干擾_2021_2030_晶豪科(3006)評估報告_TT雜訊.pdf,,False,edc8a30efb3db568
191e050f585d,deab2fdade28e8ecde05,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_B_NOISY_INPUT\NOISY_測試_OCR錯字_日期干擾_2021_2030_晶豪科(3006)評估報告_TT雜訊.pdf,,False,edc8a30efb3db568
